Tienda_Nombre,Tienda_Descripcion,Tienda_Telefono,Tienda_Prefijo,Tienda_Moneda,Tienda_Color_1,Tienda_Color_2,Prod_Categoria,Prod_Nombre,Prod_Descripcion,Prod_Precio,Var1_Titulo,Var1_Opciones,Var1_Fotos,Var2_Titulo,Var2_Opciones,Prod_Imagen,
Mi Tienda Pro,Envíos a todo el país en 24h,1234567890,52,MXN,#26D367,#23GT43,Ropa,Camiseta Básica Premium,Algodón 100% orgánico.,350.00,Color,Blanca;Lila,camiseta_blanca1.png; camiseta_lila1.png,Talla,S;M;L;XL,camiseta_blanca1.png
,,,,,,,Ropa,Jeans Slim Fit,Mezclilla elástica.,890.00,Color,Azul Claro;Azul Oscuro,jeans_claro.jpg;jeans_oscuro.jpg,Talla,28;30;32;34,jeans_claro.jpg,
,,,,,,,Ropa,Sudadera con Capucha,Ideal para clima fresco.,650.00,Color,Gris;Rojo,sudadera_gris.jpg;sudadera_roja.jpg,Talla,S;M;L;XL,sudadera_gris.jpg,
,,,,,,,Ropa,Chaqueta de Cuero,Estilo motociclista.,1200.00,Talla,S;M;L;XL,,,,,chaqueta_cuero.jpg
,,,,,,,Ropa,Vestido de Verano,Tela ligera.,780.00,Color,Rosa;Amarillo,vestido_rosa.jpg;vestido_amarillo.jpg,Talla,XS;S;M;L,vestido_rosa.jpg,
,,,,,,,Ropa,Pack Calcetines x3,Calcetines deportivos.,150.00,Color,Blanco;Negro;Mixto,,,,calcetines.jpg,
,,,,,,,Calzado,Zapatillas Running Pro,Suela impacto cero.,1450.00,Color,Neón;Negro,running_neon.jpg;running_negro.jpg,Talla,25;26;27;28;29,running_neon.jpg,
,,,,,,,Calzado,Botas de Montaña,Resistentes al agua.,2100.00,Color,Café;Negro,bota_cafe.jpg;bota_negra.jpg,Talla,26;27;28;29,bota_cafe.jpg,
,,,,,,,Calzado,Mocasines Formales,Elegancia.,1100.00,Color,Negro;Café,,Talla,25;26;27;28;29,mocasines.jpg,
,,,,,,,Calzado,Sandalias Playeras,Goma resistente.,350.00,Color,Azul;Verde;Rojo,,Talla,24;25;26;27,sandalias.jpg,
,,,,,,,Calzado,Sneakers Urbanos,Estilo casual.,950.00,Color,Blanco;Negro,sneaker_white.jpg;sneaker_black.jpg,Talla,24;25;26;27;28,sneaker_white.jpg,
,,,,,,,Calzado,Pantuflas Descanso,Interior lana suave.,400.00,Talla,S;M;L,,,,pantuflas.jpg,
,,,,,,,Electrónica,Auriculares Bluetooth,Cancelación ruido.,1296.00,Color,Negro;Blanco,audifono_negro.png;audifono_blanco.png,,,audifonos_main.jpg,
,,,,,,,Electrónica,Smartwatch Series 5,Resistente al agua.,899.50,Correa,Sport Negra;Cuero Café;Rosa,watch_negro.jpg;watch_cafe.jpg;watch_rosa.jpg,,,watch_negro.jpg,
,,,,,,,Electrónica,Funda para iPhone,Silicona protección.,250.00,Modelo,iPhone 13;iPhone 14;iPhone 15,,Color,Rojo;Negro;Azul,funda_iphone.jpg,
,,,,,,,Electrónica,Cargador Rápido 20W,Carga 50% en 30 min.,350.00,Tipo,USB-C;Lightning,,,,cargador.jpg,
,,,,,,,Electrónica,Altavoz Portátil,Sonido 360.,750.00,Color,Negro;Azul;Rojo,,,,altavoz.jpg,
,,,,,,,Electrónica,Powerbank 10000mAh,Batería externa.,450.00,Color,Blanco;Negro,,,,powerbank.jpg,
,,,,,,,Accesorios,Gafas de Sol Aviador,Protección UV400.,550.00,Lente,Negro;Espejo,lente_negro.jpg;lente_espejo.jpg,,,gafas.jpg,
,,,,,,,Accesorios,Reloj Clásico Analógico,Maquinaria japonesa.,1800.00,Correa,Cuero;Metal,,,,reloj_clasico.jpg,
,,,,,,,Accesorios,Mochila Antirrobo,Cierres ocultos.,650.00,Color,Gris;Negro;Azul Marino,,,,mochila.jpg,
,,,,,,,Accesorios,Cinturón de Cuero,Hebilla metálica.,300.00,Color,Negro;Café,,Talla,30;32;34;36,cinturon.jpg,
,,,,,,,Accesorios,Gorra Deportiva,Tela transpirable.,250.00,Color,Negro;Blanco;Azul,,,,gorra.jpg,

,,,,,,,Accesorios,Cartera Billetera,Bloqueo RFID.,400.00,Color,Negro;Café,,,,cartera.jpg,




